player_id,team_id,first_name,last_name,birth_date,height,weight,position,draft_year,season_exp
46862,727,Jace,Emerson,1985-10-12,81,250,F,2003,22
42461,,Jace,Abbott,1986-03-24,72,175,G,2005,-1
40965,709,Keenan,Ramsey,1985-09-25,72,196,G,2006,19
53770,662,Darnell,Salazar,1989-03-17,83,240,F,2007,18
18714,789,Tyrell,Lambert,1985-06-04,80,240,C-F,2007,18
92852,740,Emmanuel,Keller,1988-08-23,73,175,G,2007,18
73781,662,Kai,Sheffield,1985-12-09,80,235,F,2007,18
81637,108,Jerome,Jennings,1988-04-10,76,200,G,2008,17
70650,788,Dominic,Thornton,1988-04-18,82,251,F-C,2008,17
50984,592,Simon,Boone,1988-11-18,85,282,C,2008,17
52644,592,Jaxon,Pruitt,1989-03-09,79,230,G-F,2008,17
31284,547,Jaxon,Godfrey,1989-04-29,83,265,C,2008,17
73914,460,Samir,Ellison,1990-02-01,77,220,G,2009,16
17710,789,Kofi,Bellamy,1988-06-18,74,185,G,2009,16
78088,108,Nico,Delgado,1988-08-14,78,220,G-F,2009,16
77251,430,Zaire,Rutledge,1989-08-14,76,220,G,2009,16
78009,933,Jace,Cortez,1986-02-19,81,232,F,2009,16
80180,829,Rashad,Easton,1987-01-04,77,195,G-F,,15
79334,709,Omar,Dalton,1990-10-12,80,230,F,2010,15
23914,604,Samir,Gentry,1993-03-20,83,265,C,2011,13
13895,162,Lorenzo,Winslow,1991-12-13,80,255,C,2011,14
94836,908,Silas,Sutter,1990-04-10,77,220,G,2011,14
58553,592,Theo,Pruitt,1990-08-02,78,225,F,2011,14
16307,326,Nathan,Quigley,1991-08-10,81,265,C,2011,14
94824,985,Wesley,Sutter,1991-10-02,80,226,F,2011,14
58407,789,Dwayne,Vance,1989-12-30,78,230,F,2011,14
36806,365,Lamar,Godfrey,1993-07-02,82,253,F-C,2012,13
39168,592,Emmanuel,Navarro,1994-03-06,76,207,G,2012,13
52876,709,Lamar,Nash,1994-06-08,83,279,C,2012,13
73360,162,Jerome,Donnelly,1992-11-24,79,225,F,2012,13
36084,789,Reggie,Bradford,1989-03-21,78,230,F,2012,13
24219,908,Ivan,Bradford,1990-10-26,79,222,F,2012,13
72153,217,Dwayne,Brennan,1990-10-03,75,190,G,2013,12
42079,460,Josiah,Easton,1994-08-15,73,175,G,2013,12
87548,162,Emmanuel,Ocampo,1991-11-25,84,240,F-C,2013,12
91739,933,Jerome,Cortez,1992-03-08,77,204,G,2013,12
56169,162,Jaxon,Sinclair,1990-08-18,84,254,F-C,2013,12
39020,740,Mateo,Pemberton,1992-03-06,85,258,C,2013,12
41275,662,Damian,Stanton,1993-04-19,83,265,C,2013,12
27556,604,Ezekiel,Moreno,1991-06-22,77,205,G-F,2013,12
56720,680,Lorenzo,Vance,1995-10-03,83,243,F,2013,12
90841,789,Mateo,Fairbanks,1990-01-03,73,185,G,,12
96832,680,Jace,Dupree,1991-09-15,79,219,F,2014,6
55414,108,Keenan,Kirby,1994-12-10,77,200,G,2014,11
87218,554,Chase,McAllister,1991-08-28,77,194,G,2014,11
64510,680,Chase,Redmond,1995-09-14,76,210,G,2014,11
29507,430,Gabriel,Thackeray,1993-06-30,79,213,F,2014,11
91089,108,Chase,Lambert,1991-04-06,79,225,F,2014,11
60055,604,Wesley,Rivera,1995-11-13,80,235,F,2014,11
50214,727,Silas,Sinclair,1993-08-21,75,220,G,2014,11
34114,740,Omar,Yates,1994-02-10,80,230,F-G,2014,11
49758,908,Jerome,Kirby,1990-12-12,82,240,F-C,2014,11
16030,740,Rashad,Montgomery,1994-02-01,81,250,F-C,2014,11
11454,618,Kamari,Abbott,1994-11-12,78,197,F,2014,11
51397,709,Eli,Sawyer,1994-11-10,84,270,C-F,2014,9
65638,,Ivan,Keller,1993-04-17,82,225,F-C,2014,-1
15209,662,Nico,Montgomery,1995-05-01,82,256,C,2014,11
21499,592,Preston,Ashby,1992-12-05,77,225,G,2014,8
72436,788,Dante,Marlow,1994-06-27,83,290,C,2014,11
49218,604,Leon,Wolfe,1995-04-18,83,284,C,2014,10
18308,789,Chase,Donnelly,1996-04-16,86,240,F-C,2015,10
31384,740,Carlos,Salazar,1986-11-04,80,220,F-G,,11
83989,891,Derek,Lambert,1991-05-23,73,190,G,2015,10
54574,604,Josiah,Montgomery,1997-05-08,72,196,G,2015,10
39409,365,Landon,Navarro,1996-05-16,75,193,G,2015,10
69056,554,Ashton,Sheffield,1996-02-19,84,248,C-F,2015,10
31375,709,Ibrahim,Sheffield,1996-08-21,80,210,F-G,2015,10
46627,386,Samir,Brennan,1996-05-26,77,206,G,2015,10
23985,,Reggie,Granger,1994-04-08,74,183,G,2015,-1
46531,680,Ronan,Easton,1996-06-25,83,250,C-F,2015,10
49762,680,Felix,Winslow,1996-01-03,81,250,F,2015,10
58163,547,Landon,Godfrey,1997-02-02,81,222,F,2015,10
46113,618,Emmanuel,Quigley,1994-04-18,75,215,G,2015,10
90669,541,Adrian,McAllister,1993-12-26,77,209,G,2015,10
49906,460,Trent,Sutter,1993-12-16,78,245,F-C,2015,10
75591,386,Chase,Ellison,1992-12-16,78,226,F,,8
20276,108,Kendrick,Brennan,1996-03-04,82,240,F-C,2016,9
